age,educ,pct_male,prior_crime_incidence,military,armed_robberies,homicides
60.75,7.625,0.25,1,1,0,0
59.142857,8.714286,0.14285713,1,1,0,0
57,9.142858,0.57142854,1,1,0,0
37.142857,14.285714,0.4285714,1,0,0,0
49.714287,7.857143,0.28571427,1,0,0,0
41.5,10,0.16666669,1,0,0,0
52,8.75,0.25,2,0,0,0
43.285713,10.714286,0.14285713,2,0,0,0
43.42857,11.571428,0.4285714,1,0,0,0
50.75,9.75,0.25,1,1,0,0
42.75,11,0.375,1,1,0,0
45.57143,11.714286,0.4285714,2,0,0,0
39.75,9.75,0.25,1,0,0,0
46.166668,10.833333,0,1,1,0,0
60,2.857143,0.14285713,2,1,0,0
48.42857,7,0.28571427,1,1,0,0
49.57143,10.857142,0.4285714,1,0,0,0
40.285713,10.428572,0.28571427,1,0,0,0
43.142857,13.714286,0.28571427,1,0,0,0
32.25,12.25,0.375,2,0,0,0
41.714287,11.714286,0.14285713,3,0,0,0
49,10.857142,0.4285714,1,1,0,0
54.857143,6.571429,0.14285713,1,0,0,0
38.6,13.4,0.19999999,1,0,0,0
38.833332,11.333333,0.3333333,2,1,0,1
50.285713,9.714286,0.28571427,1,1,0,0
53.857143,8,0.14285713,1,0,0,0
62,6,0.5,2,0,0,0
53,9.875,0.25,1,0,0,0
46.77778,9.111111,0.5555556,1,0,0,0
53.5,8,0,1,0,0,0
NA,NA,NA,1,0,0,0
27.857143,12.857142,0.28571427,1,0,0,0
55.714287,9.142858,0.28571427,1,0,0,0
48.57143,10.428572,0.71428573,1,1,0,0
53.857143,10.142858,0.28571427,1,1,0,0
56.714287,9.571428,0.4285714,2,1,0,0
NA,NA,NA,1,0,0,0
60.4,11,0.19999999,1,0,0,0
34.142857,14.285714,0.28571427,1,1,0,0
42,13.285714,0.14285713,2,0,0,1
36.142857,11.428572,0.57142854,1,0,0,0
40.57143,14,0.4285714,1,0,0,0
47.57143,9.428572,0.28571427,1,0,0,0
40.42857,12,0.28571427,1,1,0,0
46.57143,11,0.28571427,1,0,0,0
42,12.428572,0.28571427,2,0,0,1
49,12,0.57142854,1,0,0,0
34.4,11.8,0,2,0,0,0
51.57143,9,0,1,0,0,0
52.142857,9.285714,0.4285714,1,1,0,0
44.42857,11.714286,0.4285714,1,1,0,0
53,10,0.14285713,1,0,0,0
46.11111,13.222222,0.22222221,1,1,0,0
58.22222,12,0.44444442,2,1,0,0
60.285713,9.428572,0.4285714,1,1,0,0
48.285713,9.142858,0.4285714,3,1,0,1
43.714287,9.857142,0.14285713,2,1,0,0
43.5,11.875,0.25,1,1,0,0
60.42857,6.285714,0.28571427,1,1,0,0
46,11.5,0.25,1,1,0,0
44,9.5,0,1,1,0,0
54,7.714286,0.14285713,2,0,0,1
49,9.857142,0,1,0,0,0
42.166668,10.166667,0.5,1,0,0,0
48.142857,11.142858,0.4285714,1,1,0,0
NA,NA,NA,1,1,0,0
43.57143,11.428572,0.28571427,1,0,0,0
46.666668,14.5,0.5,2,0,0,0
33.714287,13,0.85714287,6,0,0,1
36.142857,16.571428,0.57142854,8,0,0,0
46.833332,12.166667,0.3333333,3,0,1,0
41,14,0.28571427,1,0,0,0
47.142857,11.714286,0.28571427,1,0,0,0
46.42857,14.857142,0.71428573,1,0,0,0
50.285713,10.857142,0.14285713,2,0,0,0
NA,NA,NA,1,1,0,0
41,8,0.5,1,1,0,0
48.714287,11,0.28571427,1,1,0,0
56.857143,9,0.4285714,1,1,0,0
39.42857,11.857142,0.4285714,1,0,0,0
52.714287,7.714286,0.57142854,2,1,0,0
