"","drafted","lottery","predraft_colprep","predraft_voted_1968","predraft_ideology_index","postwar_support_us_intervention"
"401",1,149,0,0,0,"Yes"
"402",1,7,0,1,0.625,"Yes"
"403",0,194,1,1,0.375,"No"
"404",0,220,1,1,0.375,"No"
"405",0,361,1,1,0.125,"Yes"
"406",0,25,1,1,0,"Yes"
"407",0,341,0,NA,0.5,"Yes"
"408",0,150,1,0,0.125,"Yes"
"409",0,280,1,1,0.375,"Yes"
"410",0,60,1,1,0.25,"No"
"411",0,143,1,0,0,"Yes"
"412",0,67,1,1,0,"Yes"
"413",1,124,0,0,0.5,"Yes"
"414",0,145,1,0,0.5,"No"
"415",0,213,1,1,0.375,"No"
"416",0,227,0,1,0.375,"No"
"417",0,164,1,1,0.25,"Yes"
"418",0,229,0,0,0.25,"Yes"
"419",1,184,0,0,0.25,"Yes"
"420",0,332,0,NA,0.25,"Yes"
"421",0,203,0,1,0.125,"Yes"
"422",0,261,0,0,0.625,"Yes"
"423",0,205,0,NA,0.375,"No"
"424",0,281,0,1,0.125,"Yes"
"425",0,291,1,1,0.625,"No"
"426",0,262,1,1,0.25,"Yes"
"427",1,91,0,1,0,"No"
"428",1,111,0,1,0.16666667163372,"No"
"429",0,217,1,1,0.666666686534882,"Yes"
"430",0,91,1,0,0,"Yes"
"431",0,321,1,1,0,"No"
"432",0,332,0,0,0.125,"No"
"433",0,254,0,1,0.333333343267441,"No"
"434",0,337,0,0,0.125,"No"
"435",0,216,0,1,0.833333313465118,"Yes"
"436",0,36,1,0,0.375,"Yes"
"437",0,156,1,NA,0.5,"Yes"
"438",0,294,0,1,0.5,"No"
"439",0,285,0,0,0.625,"No"
"440",0,357,1,1,0.25,"Yes"
"441",0,197,1,1,0,"Yes"
"442",0,154,1,1,0.25,"No"
"443",0,283,1,0,0.375,"No"
"444",0,253,0,0,0.625,"Yes"
"445",0,204,0,1,0.125,"No"
"446",0,353,1,1,0.375,"Yes"
"447",0,37,1,1,0,"Yes"
"448",1,154,1,0,0.375,"Yes"
"449",0,202,0,0,0.125,"No"
"450",0,326,0,1,0,"Yes"
"451",0,96,1,1,0.125,"No"
"452",0,225,1,1,0.625,"Yes"
"453",0,31,1,1,0.333333343267441,"No"
"454",1,132,1,0,0.25,"Yes"
"455",1,55,0,1,0.375,"Yes"
"456",0,321,0,0,0.16666667163372,"Yes"
"457",1,221,1,1,0.16666667163372,"Yes"
"458",0,230,1,1,0.375,"Yes"
"459",0,204,0,0,0.25,"Yes"
"460",0,47,1,1,0.25,"No"
"461",1,144,0,0,0.25,"Yes"
"462",0,300,0,0,0.5,"Yes"
"463",0,273,1,1,0.375,"Yes"
"464",0,5,1,1,0.375,"No"
"465",0,320,0,0,0.125,"Yes"
"466",0,355,0,0,0,"Yes"
"467",0,78,1,0,0,"Yes"
"468",0,282,0,1,0.375,"Yes"
"469",0,113,1,1,0.375,"Yes"
"470",0,164,1,1,0.25,"Yes"
"471",0,323,1,1,0.5,"No"
"472",1,326,1,1,0.25,"Yes"
"473",0,173,1,1,0.375,"Yes"
"474",0,263,1,1,0.375,"Yes"
"475",0,301,0,1,0.5,"Yes"
"476",0,85,1,1,0.25,"Yes"
"477",0,365,1,1,0,"No"
"478",1,40,0,NA,0.375,"Yes"
"479",0,178,1,1,0.16666667163372,"No"
"480",0,237,1,0,0.625,"No"
"481",0,101,1,1,0.5,"No"
"482",0,343,0,0,0.375,"No"
"483",0,203,1,NA,0.333333343267441,"Yes"
"484",0,238,0,0,0.625,"Yes"
"485",0,266,0,0,0.125,"No"
"486",1,66,0,1,0.625,"Yes"
